特約商店名稱,營業地址
００６－００４０～１販賣機＆電話亭ＫＴＶ,高雄市新興區 五福二路２６２號１樓
００６－００４２～３販賣機＆電話亭ＫＴＶ,高雄市前鎮區 忠勤路８號１樓
００６－０１０２販賣機＆電話亭ＫＴＶ,高雄市三民區 大順二路８４９號
００６－０１０９販賣機＆電話亭ＫＴＶ,高雄市鳳山區 林森路２９１號
００６－０１４２～３販賣機＆電話亭ＫＴＶ,高雄市三民區 民族一路４２７號地下１樓
００６－０１５３～４販賣機＆電話亭ＫＴＶ,高雄市左營區 高鐵路１１５號地下２樓
００６－０１５５販賣機＆電話亭ＫＴＶ,高雄市前金區 中華三路６８號９樓員工休息室
００６－０１５７～８販賣機＆電話亭ＫＴＶ,高雄市前金區 中華三路６８號地下１樓及５樓梯廳
００６－０１８１～３販賣機＆電話亭ＫＴＶ,高雄市苓雅區 三多四路２１號１３樓
００６－０１８４～５販賣機＆電話亭ＫＴＶ,高雄市前鎮區 鎮港路１８號
１７號穀倉手工吐司坊－文化店,高雄市苓雅區 青年一路２號及２－１號一樓
１７號穀倉手工吐司坊－文濱店,高雄市鳳山區 文濱路１２３號１樓
１７號穀倉手工吐司坊－明華店,高雄市左營區 明華一路７０號１樓
１７號穀倉手工吐司坊－建工店,高雄市三民區 建工路６７７號１樓
１７號穀倉手工吐司坊－鼓山美術店,高雄市鼓山區 美術北三路１１５號１樓
１８０度Ｃ未來嗜,高雄市三民區 建工路３２７號１樓
２４ＨＩ－丸鐵運動訓練中心,高雄市三民區 美都路９號
２４ＨＩ－月緹,高雄市左營區 新慶路２０巷２２號
２４ＨＩ－旅港,高雄市小港區 宏平路９３號
２４ＨＩ－高雄商旅,高雄市新興區 民族二路３３號
２４ＨＩ－高雄萬豪,高雄市鼓山區 龍德新路２２２號
２４ＨＩ－鈞怡大飯店,高雄市前金區 河東路１０號
２４Ｈ韓金智能拉麵,高雄市楠梓區 大學東路１４７號
２４Ｈ韓金智能拉麵－高雄吉林店,高雄市三民區 吉林街１０９－２號
２４Ｈ韓金智能拉麵－鳳山文龍店,高雄市鳳山區 文龍東路７２０號１樓
３１６８聯通大順場,高雄市三民區 大順二路４１號旁
３３１２聯通高雄寶三場,高雄市前鎮區 三多三路２２５號旁空地
３３１５聯通高雄頂豐場,高雄市鳳山區 頂豐街２１號前空地
３３３１聯通高雄鼎義場,高雄市三民區 鼎義街２３１號後方空地
３３８０聯通高雄同新場,高雄市新興區 忠孝一路１５９號旁空地
３４１０聯通高雄七賢場,高雄市鹽埕區 七賢三路６號旁空地
３５０６聯通高雄六合場,高雄市新興區 復興一路８０號地下１樓
３５１２聯通高雄壽華場,高雄市岡山區 壽華路１３１號對面空地
３５２３聯通高雄林園場,高雄市林園區 鳳林路２段３７號旁空地
３５４１聯通高雄橋頭場,高雄市橋頭區 成功南路８５５號前空地
３５５７聯通高雄前金場,高雄市前金區 自強三路２５６號
３５５８聯通高雄路竹場,高雄市路竹區 國昌路２６及２８號前空地
３５６６聯通大順二場,高雄市三民區 大順二路５１０、５１２號
３５６７聯通高雄大社場,高雄市大社區 金龍路３３８、３４０號空地
３５７２聯通高雄英德場,高雄市前鎮區 英德路１４９號旁空地
３６１０聯通高雄岡山場,高雄市岡山區 岡山路３３９號
３Ｑ脆皮雞排－岡山後紅店,高雄市岡山區 大仁北路３６２－１號
５０嵐柳橋店,高雄市岡山區 柳橋西路一段７號１樓
５０嵐站前店,高雄市岡山區 民有路７１號１樓
５０嵐路竹店,高雄市路竹區 智仁街２８９號１樓
５０嵐綠茶連鎖專賣店８８過勇店,高雄市鳳山區 過勇路２０６號１樓
５０嵐綠茶連鎖專賣店８８過勇店,高雄市鳳山區 過勇路２０６號１樓
５０嵐綠茶連鎖專賣店七賢鹽埕店,高雄市鹽埕區 七賢三路１３８號１樓
５０嵐綠茶連鎖專賣店七賢鹽埕店,高雄市鹽埕區 七賢三路１３８號１樓
５０嵐綠茶連鎖專賣店二聖英明店,高雄市前鎮區 二聖一路６３號
５０嵐綠茶連鎖專賣店二聖英明店,高雄市前鎮區 二聖一路６３號
５０嵐綠茶連鎖專賣店十全店,高雄市三民區 十全一路３９１號
